rank,vx,vy,vz,base_label,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,junction_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,junction_cluster_count,junction_orientation_dispersion,junction_score,junction_mixed_relabel_score,total_score
24,4,-9,5,corner_like,corner_like,69,-1.894774,0.550576,0.232433,0.876340,3.188336,-0.092707,0.423729,0.710526,0.228737,1.620279,1,0.547183,0.000000,0.524946,1.107524
25,2,18,10,planar,planar,25,2.169316,-0.475834,-1.409394,1.691752,2.344256,0.127432,0.341321,0.449275,0.194501,1.221653,1,0.944607,0.000000,0.477892,1.064023
26,5,-5,-5,planar,planar,33,1.446850,-0.100884,-1.625879,2.385968,2.353674,1.199439,0.000228,0.666667,0.132277,1.133641,2,0.754217,0.248789,0.406526,0.887231
27,-1,-6,-5,planar,planar,50,1.801019,-0.265001,-1.437233,2.197401,1.028497,1.886932,0.253084,0.336186,0.309154,0.844802,2,0.987750,0.311388,0.380271,0.816813
28,11,-8,5,planar,planar,35,0.745026,-0.185302,-1.413038,1.804091,2.343946,0.943783,0.237273,0.666667,0.263097,1.320318,2,0.709689,0.216848,0.481631,0.630324
29,4,-10,1,linear,linear,18,-0.953774,0.417597,-0.299597,1.736524,1.934632,1.233392,0.146330,0.489583,0.144456,1.002754,2,0.435865,0.300730,0.351093,0.595726
30,-9,-1,-2,linear,linear,32,-0.131178,-0.499243,-0.385805,1.772297,3.348531,-0.064994,0.237184,0.666667,0.061321,1.453532,1,0.738090,0.000000,0.446230,0.495015
31,-5,-9,4,planar,planar,31,1.295422,-0.438551,-1.748832,3.136506,2.376702,2.101900,0.017428,0.666667,0.145012,1.156861,3,0.322468,0.541141,0.436335,0.450136
32,-3,-7,1,corner_like,corner_like,131,-3.387223,0.320555,0.527003,0.597693,2.621444,0.835976,0.207326,0.820396,0.279165,1.448992,2,0.334021,0.243668,0.419896,0.320062
33,-7,0,4,linear,linear,23,-6.873240,2.077669,-0.458474,1.768866,5.448785,1.595072,0.895217,0.751244,0.026118,2.301577,2,0.627624,0.315701,0.584401,0.020945
34,-8,6,2,planar,planar,65,1.247080,-0.515398,-1.342787,1.979991,1.157664,1.204722,0.288991,0.306397,0.276462,0.860508,2,0.651992,0.273255,0.363565,-0.228710
35,2,-7,-5,planar,planar,193,1.023607,-0.454093,-1.974719,3.727664,3.372435,1.493991,0.461037,0.762274,0.259327,1.727567,2,0.830134,0.272776,0.551263,-0.266443
36,-9,-5,-1,planar,planar,111,-0.957594,-0.032834,-1.538253,2.337500,3.426800,1.137962,0.287013,0.666667,0.094013,1.520801,2,0.700024,0.239825,0.563102,-0.301419
37,-9,0,-1,planar,planar,138,1.904854,-0.664924,-1.445692,2.008826,0.973006,0.900211,0.047385,0.378788,0.261910,0.747303,2,0.642555,0.231845,0.318452,-0.341371
38,-4,-4,3,planar,planar,78,-3.147026,0.649884,-1.093646,1.835839,4.192252,0.807989,0.483302,0.897849,0.124113,1.906758,2,0.420657,0.242114,0.471993,-0.426385
39,-6,-3,3,planar,planar,152,2.749991,0.189154,-1.484283,1.993593,0.380605,-0.335585,0.156195,0.314789,0.404444,0.690464,1,0.501401,0.000000,0.249227,-0.493711
40,0,-9,0,planar,planar,129,2.499265,0.042755,-1.674339,2.790207,0.623093,0.745560,0.124951,0.569163,0.511084,0.928096,2,0.377513,0.235955,0.212056,-0.553874
41,-2,-7,5,linear,linear,83,-0.957618,-0.168857,-0.459331,1.790678,1.440026,1.358259,0.079989,0.432990,0.186300,0.850940,2,0.427861,0.318677,0.305524,-0.578200
42,-8,4,4,planar,planar,101,2.644579,0.183769,-1.510723,2.105418,0.112878,0.055853,0.032960,0.408702,0.444470,0.627402,2,0.292403,0.153145,0.102015,-0.619063
43,-6,14,8,planar,planar,29,0.779748,-0.289096,-1.473973,2.244851,2.414683,0.161555,0.004412,0.666667,0.115227,1.139290,1,0.985734,0.000000,0.356638,-0.651934
