rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
17,6,-3,2,corner_like,169,2.290833,0.011684,0.399856,0.320815,-2.612191,0.015238,0.512172,0.426286,0.717294,-0.230632
18,6,-3,1,corner_like,276,2.803596,0.081246,0.006749,0.628945,-2.519675,0.036439,0.137007,0.451003,0.333233,-0.257029
19,6,-1,2,corner_like,141,2.038183,-0.012670,0.451247,0.292924,-2.567447,0.022045,0.451375,0.411371,0.659607,-0.383612
20,6,3,-1,corner_like,213,2.185997,0.023122,0.050975,0.584978,-2.074596,0.345125,0.181878,0.302643,0.799318,-0.399479
21,6,4,2,corner_like,149,2.083900,-0.048805,0.259120,0.372733,-2.359663,0.033789,0.257901,0.397665,0.462639,-0.438181
22,6,-2,2,volumetric,201,2.289798,-0.178990,0.365272,0.446159,-2.586890,0.024826,0.418526,0.417852,0.627226,-0.556970
23,6,-4,2,corner_like,123,2.416321,-0.096328,0.227355,0.410627,-2.727717,0.030699,0.585260,0.464794,0.818563,-0.590996
24,6,1,2,corner_like,206,2.683688,0.253136,-0.058263,0.687923,-2.786015,0.136576,0.406616,0.484227,0.764988,-0.595376
25,6,-3,0,corner_like,288,2.441887,-0.182950,-0.023707,0.632977,-2.413162,0.119043,0.106960,0.415498,0.411697,-0.810909
26,6,-2,3,corner_like,197,1.951188,-0.028907,0.074435,0.627716,-2.474697,0.073114,0.190385,0.436010,0.441461,-1.105696
27,6,4,-1,corner_like,204,2.253878,0.025324,-0.299895,0.840997,-2.344350,0.281881,0.218245,0.392561,0.753941,-1.206040
28,-6,11,3,linear,33,2.090394,0.052787,-0.566816,1.760825,-1.034908,0.047346,0.114155,0.150525,0.456155,-1.219368
29,6,-7,2,corner_like,57,-0.202495,-0.187491,0.702017,0.265448,-1.300590,0.063252,0.368932,0.183530,0.757882,-1.254006
30,-7,11,3,linear,24,1.890515,0.111778,-0.476430,1.787034,-1.008475,0.025356,0.098039,0.141714,0.408741,-1.269645
31,1,-8,4,corner_like,121,0.628149,-0.365476,0.476004,0.234054,-2.012190,0.192415,0.317394,0.281841,0.742227,-1.507567
32,6,2,-1,corner_like,272,2.439848,-0.310652,-0.280448,0.826474,-2.555314,0.151851,0.194110,0.462882,0.551853,-1.533040
33,2,7,-2,linear,44,1.891897,0.355112,-0.622416,1.798878,-1.362223,0.017058,0.364341,0.204074,0.690470,-1.536507
34,6,-9,1,corner_like,50,0.300576,-0.411111,0.394234,0.308721,-1.742389,0.478817,0.286430,0.191907,1.094809,-1.767411
35,3,15,3,linear,33,2.002997,-0.846830,-0.362533,1.527343,-1.106347,0.325871,0.444444,0.118782,1.195482,-1.840056
36,6,5,0,corner_like,115,0.739882,-0.218745,0.333424,0.439406,-2.304132,0.063744,0.126158,0.379155,0.358161,-1.888977
37,-8,-8,8,planar,24,2.467679,-0.343175,-1.338246,1.381321,-1.385688,0.045090,0.406926,0.211896,0.775157,-1.980752
38,2,9,-2,linear,17,0.059580,0.064646,-0.425298,1.799996,-0.000000,0.000000,0.000000,0.000000,0.400000,-2.101067
39,-1,-11,8,planar,31,2.297167,0.286904,-1.398390,2.207994,-1.079592,0.014214,0.066667,0.165420,0.359188,-2.101905
40,0,-7,-2,linear,54,1.918047,0.524386,-0.660049,1.797929,-2.165068,0.006841,0.170295,0.332800,0.329893,-2.180613
41,6,-3,-1,corner_like,184,-0.027718,-0.227208,0.270237,0.569285,-1.935400,0.403994,0.340637,0.256244,1.053426,-2.489374
42,-9,-3,8,planar,56,2.161980,-0.073873,-1.958385,2.295770,-0.352095,0.050501,0.333333,0.061809,0.834843,-2.518143
43,-1,-9,-2,linear,36,0.817730,-0.055256,-0.296789,1.799980,-1.214612,0.008114,0.370370,0.154871,0.685027,-2.548907
44,-2,-11,8,planar,36,2.186065,0.412483,-1.772851,2.230367,-1.208160,0.023101,0.049383,0.208275,0.352174,-2.612831
45,-4,-8,8,linear,47,0.529016,-0.167394,-0.475427,1.748685,-0.898337,0.287383,0.143939,0.105001,0.812967,-2.760828
46,-12,4,8,planar,24,1.235079,-0.231091,-1.409452,2.065961,-0.300649,0.060509,0.333333,0.044661,0.848354,-2.772073
47,1,0,-2,planar,1343,2.107231,-0.464994,-1.333359,1.711814,-1.489644,0.277845,0.690190,0.190992,1.400966,-2.892580
48,-3,-11,8,linear,23,0.815285,-0.546902,-0.424051,1.782380,-0.991740,0.021781,0.040650,0.136136,0.340786,-2.929788
