rank,vx,vy,vz,label,num_points,gaussian_center_advantage,shell_center_penalty,ranking_adjustment,morphology_filter_penalty,context_mode_contribution,normal_variation,occupancy_asymmetry,planar_context_penalty,corner_context_bonus,total_score
108,0,-2,-2,planar,1051,-0.129333,-0.073587,-1.671070,2.246664,0.547245,0.000158,0.393902,0.254827,0.700172,-3.573409
109,-10,-5,8,planar,44,2.019771,0.590246,-2.223717,3.157181,-0.805118,0.075968,0.260904,0.496101,0.522884,-3.576000
110,6,-9,2,planar,29,-1.420914,0.486976,-1.368168,1.521034,0.211308,0.256423,0.130890,0.260739,0.623483,-3.611832
111,-4,18,2,planar,22,-0.018581,0.062775,-1.926324,2.240030,0.501142,0.009625,0.410256,0.292681,0.730942,-3.621017
112,0,-10,7,planar,63,-2.371195,0.625092,-1.912317,2.244974,2.256641,0.022225,0.666667,0.123601,1.163337,-3.646753
113,5,4,4,planar,49,-1.360596,0.157137,-1.623958,1.702495,0.863318,0.254202,0.032787,0.154290,0.645905,-3.666594
114,6,1,3,planar,187,2.384408,0.014114,-2.110407,2.968605,-0.996775,0.076220,0.173202,0.481125,0.426753,-3.677265
115,-8,-6,8,planar,49,2.506183,0.193460,-2.164459,2.949004,-1.282670,0.013819,0.191045,0.519390,0.362139,-3.696489
116,6,6,0,planar,90,2.084648,-0.320209,-1.971368,2.483902,-1.035303,0.119629,0.059933,0.442215,0.360759,-3.726134
117,0,-5,-2,planar,220,1.883999,0.545260,-2.120123,2.792309,-1.256858,0.000072,0.207090,0.510748,0.361230,-3.740030
118,1,-10,6,linear,17,-4.407690,1.248565,-0.513773,1.799258,1.687991,0.008499,0.333333,0.040726,0.778140,-3.784166
119,-9,-6,8,planar,35,2.067452,0.056663,-2.047650,2.591294,-1.310495,0.034030,0.107444,0.478200,0.297462,-3.825323
120,0,-9,-2,linear,40,-2.964928,2.060637,-0.610571,1.795616,-0.595837,0.019336,0.194658,0.316843,0.373562,-3.906314
121,-7,8,8,linear,21,-5.986681,1.042910,-0.276822,1.799942,3.072969,0.196162,0.666667,0.053049,1.398151,-3.947566
